code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sh600000,2016-10-18,16.280000,16.390000,16.240000,16.340000,0.004302,18251833.000000,298064113.000000,335277495205.039978,353242693925.479980,0.000890,160.750991,2016-06-30,2016-08-11,6.120403,2.119379,9.388706,1.119538,16.340000
sh600004,2016-10-18,13.890000,14.170000,13.890000,14.140000,0.017266,5645122.000000,79455299.000000,16261369096.420000,16261369096.420000,0.004909,24.108321,2016-06-30,2016-08-31,12.227656,2.881022,9.689199,1.583090,14.140000
sh600005,2016-10-18,3.170000,3.220000,3.160000,3.210000,0.003125,83291361.000000,266176208.000000,32401033231.830002,32401033231.830002,0.008252,17.501958,2016-06-30,2016-08-30,-4.173292,0.371470,-17.895071,1.130083,3.210000
sh600006,2016-10-18,7.600000,8.250000,7.600000,8.000000,0.049869,39894388.000000,317677148.000000,16000000000.000000,16000000000.000000,0.019947,28.122190,2016-06-30,2016-08-30,48.342750,0.948138,38.551430,2.458739,8.000000
sh600007,2016-10-18,21.480000,21.890000,21.480000,21.860000,0.010166,2884642.000000,62561249.000000,22019196193.240002,22019196193.240002,0.002864,36.279385,2016-06-30,2016-08-31,31.456044,9.694628,19.091620,3.779457,21.860000
sh600008,2016-10-18,4.320000,4.380000,4.280000,4.380000,0.013889,26312680.000000,114056705.000000,21114289858.740002,21114289863.119999,0.005458,31.840018,2016-06-30,2016-08-31,23.146680,1.495030,6.876208,2.810936,4.380000
sh600009,2016-10-18,27.350000,27.640000,27.350000,27.580000,0.001452,2162180.000000,59550010.000000,30158079001.680000,53145513995.839996,0.001977,81.452478,2016-06-30,2016-08-27,20.081725,8.455389,17.745156,2.543131,27.580000
sh600010,2016-10-18,2.790000,2.820000,2.770000,2.820000,0.010753,58678503.000000,164433220.000000,44392508125.559998,91821280048.919998,0.003728,16.820165,2016-06-30,2016-08-26,-32.494843,4.080759,-57.907922,1.947110,2.820000
sh600011,2016-10-18,7.110000,7.160000,7.080000,7.160000,0.007032,6633722.000000,47275052.000000,75180000000.000000,108834745430.399994,0.000632,31.080186,2016-06-30,2016-08-02,10.335246,0.844303,2.983466,1.367874,7.160000
sh600012,2016-10-18,12.760000,13.240000,12.700000,13.000000,0.018809,6007112.000000,78379154.000000,15152800000.000000,21561930000.000000,0.005154,26.670268,2016-06-30,2016-08-22,22.729498,8.884175,13.021055,2.622131,13.000000
sh600015,2016-10-18,10.200000,10.310000,10.200000,10.300000,0.006843,18219986.000000,187009902.000000,110061393763.000000,110061393773.300003,0.001705,35.563369,2016-06-30,2016-08-11,6.256165,1.880535,1.156403,0.892177,10.300000
sh600016,2016-10-18,9.230000,9.280000,9.230000,9.270000,0.003247,26011675.000000,240904614.000000,273944901818.880005,338219182931.039978,0.000880,179.661299,2016-06-30,2016-08-30,7.351161,2.303380,0.390405,1.073583,9.270000
sh600017,2016-10-18,3.990000,4.050000,3.980000,4.050000,0.015038,29042081.000000,116815365.000000,12456398246.400000,12456398246.400000,0.009443,13.055921,2016-06-30,2016-07-30,51.343162,2.845278,14.306859,1.209930,4.050000
sh600018,2016-10-18,5.140000,5.200000,5.130000,5.190000,0.009728,16391437.000000,84777337.000000,118099382378.309998,120271371433.500000,0.000720,30.149314,2016-06-30,2016-08-30,18.844837,4.075498,18.012828,2.041539,5.190000
sh600019,2016-10-18,5.480000,5.560000,5.470000,5.540000,0.009107,45214432.000000,249238599.000000,90990504684.960007,91226776820.960007,0.002753,11.755773,2016-06-30,2016-08-31,69.812866,0.556791,4.550626,0.788994,5.540000
sh600020,2016-10-18,4.460000,4.530000,4.450000,4.520000,0.013453,12457946.000000,55981444.000000,10158120676.120001,10158120680.639999,0.005543,16.944606,2016-06-30,2016-08-25,13.923158,1.939530,3.681693,1.194030,4.520000
sh600022,2016-10-18,2.460000,2.500000,2.460000,2.500000,0.012146,35682244.000000,88435961.000000,20555025205.000000,21051056952.500000,0.004340,10.707895,2016-06-30,2016-08-26,237.146651,0.446241,8.477134,1.264542,2.500000
sh600023,2016-10-18,5.260000,5.350000,5.240000,5.350000,0.017110,28588974.000000,151704217.000000,15983658507.350000,72763691435.800003,0.009569,7.739160,2016-06-30,2016-08-16,10.062406,1.833396,5.669457,1.306535,5.350000
sh600026,2016-10-18,6.710000,6.990000,6.680000,6.950000,0.034226,46256399.000000,317684204.000000,19015428383.950001,28022628383.950001,0.016906,11.309162,2016-06-30,2016-08-30,14.663839,2.193290,4.982325,1.042448,6.950000
